net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
1.48,67537,77660,77313,77.31,4.58,3.26,7.61,41.88,26.5,115,114,113,82,53.2,180,133,123,140,91
1.6,77313,87206,86588,86.59,4.12,3.28,7.64,43.17,26.58,116,119,123,41,54.18,216,133,117,135,133
1.72,86588,96378,96008,96.01,4.01,3.29,7.65,43.16,26.17,130,125,141,1,54.35,254,118,110,121,172
1.85,96008,105738,105382,105.38,3.93,3.28,7.64,43.59,26.23,133,123,139,0,54.93,295,114,113,83,208
1.99,105382,115194,114567,114.57,3.86,3.29,7.64,44.31,26.68,133,118,135,1,55.44,331,119,121,42,244
2.11,114567,124407,123698,123.7,3.84,3.29,7.64,45.08,26.38,119,110,121,0,55.14,382,126,140,2,283
2.24,123698,133863,132909,132.91,3.83,3.3,7.64,46.42,26.58,117,113,83,0,55.46,424,124,137,2,313
2.41,132909,143555,142395,142.4,3.86,3.31,7.66,47.78,26.73,121,120,43,0,56.13,461,118,134,3,362
2.55,142395,152460,150901,150.9,3.86,3.32,7.67,48.15,26.24,125,138,7,0,56.26,498,111,118,3,400
2.69,150901,160731,158828,158.83,3.82,3.3,7.65,48.59,26.26,126,136,4,0,56.69,534,116,82,2,431
2.78,158828,168776,167353,167.35,3.78,3.28,7.62,49.21,26.65,123,134,5,0,57.22,570,121,47,0,476
2.94,167353,176803,174870,174.87,3.82,3.32,7.68,49.73,26.45,113,120,5,0,57.0,611,142,8,1,504
3.1,174870,184627,182803,182.8,3.83,3.33,7.68,50.86,26.76,120,84,3,0,57.15,648,136,7,2,540
3.16,182803,192454,190055,190.06,3.79,3.27,7.63,52.22,26.78,122,49,1,0,57.51,681,137,7,3,574
3.3,190055,199812,197538,197.54,3.82,3.29,7.63,52.54,26.25,146,14,3,0,57.66,711,119,6,1,612
3.35,197538,206448,203894,203.89,3.78,3.23,7.57,53.0,26.29,142,12,4,0,58.01,751,87,4,0,642
3.46,203894,213010,211231,211.23,3.8,3.26,7.6,53.54,26.73,139,10,3,0,58.34,792,54,2,0,676
3.53,211231,220419,218416,218.42,3.75,3.24,7.59,53.91,26.47,125,6,4,0,58.19,846,17,2,0,714
3.66,218416,227371,224514,224.51,3.84,3.31,7.65,55.14,27.33,91,6,2,0,58.2,885,12,3,1,744
3.71,224514,233300,230465,230.47,3.81,3.26,7.6,56.63,28.51,57,3,1,0,58.46,921,11,6,1,798
3.81,230465,237737,235081,235.08,3.86,3.32,7.68,57.88,27.27,19,3,0,0,58.57,960,11,5,2,838
3.86,235081,241684,239803,239.8,3.8,3.24,7.59,58.26,26.09,17,5,1,0,59.01,968,5,3,1,879
3.93,239803,244648,241492,241.49,3.84,3.29,7.64,58.73,26.71,11,5,1,0,59.29,972,5,5,1,907
3.95,241492,245088,242027,242.03,3.85,3.3,7.65,58.6,27.09,13,6,3,0,59.31,973,4,1,0,909
3.96,242027,245572,242807,242.81,3.83,3.27,7.62,58.81,25.75,10,5,1,0,59.35,976,4,4,0,921
3.92,242807,245785,242821,242.82,3.83,3.27,7.62,58.84,28.12,7,8,2,0,59.38,977,4,2,0,921
3.96,242821,245875,243196,243.2,3.82,3.28,7.63,59.09,27.56,4,4,1,0,59.38,979,9,3,0,927
3.96,243196,246028,243302,243.3,3.84,3.29,7.64,59.0,25.36,7,4,0,0,59.38,978,8,3,0,928
3.91,243302,246024,243611,243.61,3.82,3.27,7.61,59.07,26.77,10,3,0,0,59.5,975,9,3,0,931
3.93,243611,246165,243662,243.66,3.86,3.29,7.64,58.9,26.29,13,4,0,0,59.46,977,5,1,0,928
3.93,243662,246424,243422,243.42,3.85,3.3,7.65,58.82,26.59,12,5,0,0,59.38,978,5,0,0,920
3.94,243422,246629,242545,242.54,3.86,3.31,7.66,58.66,27.41,12,5,0,0,59.2,978,4,1,0,905
3.93,242545,246496,242688,242.69,3.86,3.3,7.65,58.89,26.9,8,2,0,0,59.21,979,9,2,0,912
3.9,242688,246290,242730,242.73,3.85,3.28,7.62,58.84,27.77,11,2,0,0,59.25,976,9,2,0,910
3.89,242730,246334,243091,243.09,3.85,3.26,7.6,58.96,25.55,7,4,0,0,59.33,980,8,1,0,918
3.88,243091,246479,243415,243.41,3.81,3.25,7.59,58.74,26.42,15,4,0,0,59.37,977,4,0,0,919
3.85,243415,246633,243034,243.03,3.82,3.26,7.61,58.83,26.5,12,3,1,0,59.36,976,7,1,0,921
3.88,243034,246083,242792,242.79,3.85,3.28,7.63,58.82,28.06,14,3,0,0,59.35,972,9,2,0,918
3.9,242792,245857,243404,243.4,3.87,3.29,7.63,58.99,26.55,9,2,0,0,59.35,980,7,2,0,925
3.9,243404,246399,243122,243.12,3.84,3.25,7.59,58.92,26.33,10,2,0,0,59.31,980,6,2,0,917
3.9,243122,246560,243530,243.53,3.82,3.25,7.6,58.88,26.23,10,3,0,0,59.31,981,6,0,0,919
3.9,243530,246872,242960,242.96,3.83,3.27,7.62,58.81,27.07,9,6,0,0,59.3,979,4,1,1,914
3.9,242960,246478,243788,243.79,3.8,3.23,7.59,58.98,26.69,8,5,0,0,59.41,980,6,0,1,927
3.84,243788,246705,244332,244.33,3.73,3.17,7.52,59.14,26.92,10,2,0,0,59.53,978,8,1,1,939
3.86,244332,246556,243431,243.43,3.76,3.21,7.57,59.01,26.92,8,3,2,0,59.44,978,8,1,0,928
3.84,243431,246218,243386,243.39,3.74,3.19,7.55,58.89,25.36,9,3,2,0,59.36,980,6,0,0,922
3.85,243386,246535,243791,243.79,3.76,3.2,7.55,58.93,27.0,11,4,1,0,59.45,978,5,1,0,928
3.89,243791,246596,243698,243.7,3.82,3.25,7.61,58.95,27.0,13,2,0,0,59.43,978,5,2,0,930
3.88,243698,246406,243787,243.79,3.81,3.25,7.6,58.97,26.57,13,0,1,0,59.43,978,4,4,0,930
3.84,243787,246447,244257,244.26,3.73,3.18,7.54,59.14,27.17,9,2,1,0,59.53,980,5,3,0,938
3.87,244257,246632,244559,244.56,3.77,3.2,7.55,59.11,26.0,7,3,1,0,59.48,984,3,2,0,938
3.88,244559,247035,244206,244.21,3.8,3.24,7.6,59.02,27.64,8,2,1,0,59.37,984,3,2,0,925
3.92,244206,247359,245037,245.04,3.83,3.25,7.61,59.21,26.5,5,3,0,0,59.47,986,5,1,0,939
3.91,245037,247554,245112,245.11,3.8,3.24,7.59,59.15,26.7,7,2,1,0,59.47,986,4,0,0,938
3.91,245112,247677,244565,244.56,3.82,3.24,7.59,59.05,26.18,7,3,1,0,59.42,985,4,0,0,932
3.92,244565,247403,244756,244.76,3.79,3.25,7.62,59.09,27.8,8,1,1,0,59.4,985,5,0,0,931
3.9,244756,247652,245267,245.27,3.78,3.24,7.6,59.27,27.71,6,1,0,0,59.49,986,6,1,0,941
3.94,245267,247715,244639,244.64,3.83,3.31,7.66,59.1,26.89,7,2,0,0,59.39,986,4,1,0,930
3.93,244639,247639,244571,244.57,3.85,3.29,7.65,59.16,27.25,6,2,0,0,59.42,985,5,1,1,933
3.96,244571,247350,244432,244.43,3.81,3.27,7.63,59.09,26.1,8,1,1,0,59.42,983,7,0,0,931
3.9,244432,247260,244049,244.05,3.81,3.27,7.63,58.98,26.33,9,2,1,0,59.38,983,4,1,0,926
3.91,244049,247125,244640,244.64,3.8,3.24,7.6,59.1,27.08,11,2,0,0,59.52,981,4,1,1,937
3.89,244640,247123,244313,244.31,3.79,3.24,7.59,59.01,26.43,11,3,0,0,59.48,981,4,0,1,934
3.88,244313,246912,244171,244.17,3.8,3.24,7.6,58.97,27.13,12,3,0,0,59.45,980,4,0,1,930
3.91,244171,246943,245043,245.04,3.81,3.25,7.6,59.15,27.0,9,1,1,0,59.51,984,5,0,0,939
3.87,245043,247526,244720,244.72,3.79,3.24,7.6,59.06,26.0,9,1,1,0,59.42,986,3,0,0,934
3.89,244720,247498,244038,244.04,3.87,3.33,7.68,58.99,27.0,10,1,1,0,59.38,981,6,1,0,924
3.87,244038,247166,243822,243.82,3.89,3.34,7.69,58.97,27.36,10,1,0,0,59.32,983,4,2,0,922
3.89,243822,247087,244096,244.1,3.83,3.31,7.66,59.0,25.22,7,2,0,0,59.31,986,4,1,0,920
3.88,244096,247607,243555,243.56,3.83,3.3,7.65,58.84,26.86,12,2,0,0,59.3,982,1,3,0,916
3.88,243555,247095,243853,243.85,3.84,3.29,7.64,58.9,27.0,9,4,1,0,59.36,983,1,2,0,922
3.87,243853,247112,244431,244.43,3.81,3.29,7.64,58.98,27.29,10,4,0,0,59.43,982,3,1,0,931
3.85,244431,247194,244125,244.12,3.8,3.28,7.63,59.02,27.3,6,4,0,0,59.34,985,4,1,0,926
3.88,244125,247237,244411,244.41,3.84,3.31,7.67,59.14,27.0,3,4,0,0,59.37,987,5,1,0,929
3.91,244411,247460,244545,244.54,3.82,3.28,7.63,59.14,27.25,5,3,0,0,59.39,985,6,1,0,930
3.9,244545,247506,244092,244.09,3.84,3.29,7.64,59.04,26.45,10,1,0,0,59.4,980,6,3,0,929
3.91,244092,246880,243926,243.93,3.84,3.28,7.63,58.99,26.42,10,2,0,0,59.39,981,5,2,0,925
3.84,243926,246987,243551,243.55,3.81,3.26,7.61,58.9,26.93,9,5,0,0,59.35,980,6,0,0,921
3.84,243551,246762,243225,243.22,3.79,3.26,7.62,58.86,27.21,9,5,0,0,59.31,980,5,1,0,918
3.84,243225,246585,244116,244.12,3.79,3.25,7.6,59.09,26.3,7,3,0,0,59.42,982,6,2,0,932
3.83,244116,246829,243632,243.63,3.8,3.25,7.59,58.97,27.25,8,4,0,0,59.35,981,6,1,0,924
3.85,243632,246727,243585,243.59,3.81,3.28,7.62,59.02,26.64,6,5,0,0,59.38,981,7,1,0,924
