net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
4.31,196187,227191,221660,73.89,4.69,3.34,7.69,40.78,26.53,393,350,360,286,53.06,483,375,371,382,206
4.59,221660,253032,247683,82.56,4.31,3.34,7.69,41.81,26.56,391,337,383,181,53.34,599,370,362,377,318
4.92,247683,278798,274918,91.64,4.19,3.33,7.68,43.07,26.32,382,340,370,87,53.91,729,342,375,375,435
5.21,274918,306027,299493,99.83,4.12,3.31,7.66,43.36,26.41,362,370,375,82,54.49,839,344,354,274,534
5.57,299493,330825,323686,107.9,4.08,3.28,7.64,43.78,26.26,365,356,361,85,54.93,940,347,371,175,649
5.85,323686,353953,344359,114.79,4.07,3.29,7.65,43.9,26.39,355,364,336,109,55.0,1042,338,357,99,728
6.11,344359,375753,363622,121.21,4.07,3.3,7.65,44.92,26.45,353,328,259,137,55.26,1120,361,349,93,821
6.39,363622,393816,381772,127.26,4.08,3.31,7.67,45.68,26.49,342,338,182,145,55.37,1218,336,333,106,909
6.59,381772,411609,398961,132.99,4.09,3.3,7.65,46.64,26.34,330,315,114,168,55.72,1300,351,314,108,973
6.83,398961,429898,415207,138.4,4.08,3.28,7.64,46.53,26.19,367,306,98,187,56.07,1366,313,245,118,1058
7.03,415207,444575,431045,143.68,4.09,3.3,7.66,46.8,26.21,340,306,106,197,56.33,1450,326,163,112,1134
7.25,431045,460198,446109,148.7,4.09,3.28,7.64,47.11,26.51,347,296,98,194,56.43,1521,301,110,133,1195
7.48,446109,475386,460090,153.36,4.1,3.3,7.66,47.99,26.41,313,231,97,195,56.33,1618,303,102,141,1265
7.63,460090,489815,472665,157.56,4.12,3.31,7.67,48.7,26.59,320,166,97,195,56.44,1676,285,96,165,1318
7.87,472665,501892,484763,161.59,4.12,3.3,7.66,49.51,26.32,291,119,122,181,56.74,1746,280,91,170,1404
8.01,484763,512448,495248,165.08,4.13,3.3,7.66,49.62,26.3,296,110,131,184,57.0,1799,225,94,161,1455
8.12,495248,522578,503514,167.84,4.14,3.32,7.67,49.66,26.26,290,92,147,190,57.03,1863,160,105,153,1500
8.27,503514,530885,514502,171.5,4.14,3.3,7.66,49.98,26.3,279,83,149,188,57.17,1913,126,107,155,1569
8.39,514502,540222,521446,173.82,4.16,3.33,7.68,50.53,26.48,244,84,142,189,57.31,1957,116,106,162,1629
8.46,521446,545257,525945,175.31,4.17,3.35,7.7,50.9,26.53,177,100,144,195,57.2,2021,100,111,152,1648
8.63,525945,550909,533817,177.94,4.19,3.35,7.7,51.32,26.11,144,102,128,212,57.44,2061,91,114,148,1717
8.69,533817,556984,537037,179.01,4.18,3.36,7.71,51.33,26.08,133,95,124,245,57.61,2071,93,107,132,1761
8.67,537037,557942,539928,179.98,4.17,3.34,7.69,51.59,26.28,120,90,116,263,57.77,2078,103,112,118,1802
8.69,539928,559073,541724,180.57,4.17,3.34,7.7,51.67,26.27,118,103,107,256,57.81,2080,94,101,141,1818
8.68,541724,560280,542333,180.78,4.17,3.34,7.69,51.7,26.08,112,93,93,277,57.77,2095,92,83,155,1832
8.66,542333,560498,543690,181.23,4.14,3.3,7.65,52.0,26.31,112,86,87,269,57.82,2098,84,89,175,1838
8.6,543690,561565,544352,181.45,4.15,3.31,7.67,52.04,26.23,110,75,97,269,57.85,2099,93,86,171,1843
8.59,544352,562156,545133,181.71,4.14,3.3,7.65,52.16,26.15,107,80,108,243,57.84,2106,86,79,191,1853
8.63,545133,562603,545295,181.76,4.16,3.32,7.67,52.21,26.39,108,91,123,221,57.91,2097,88,72,200,1861
8.55,545295,562065,542897,180.97,4.13,3.3,7.66,52.01,26.01,114,80,141,213,57.83,2087,83,89,193,1853
8.64,542897,559387,544237,181.41,4.14,3.3,7.65,52.05,26.12,106,75,151,226,57.97,2097,79,95,171,1862
