net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
9.78,262439,301652,301652,75.41,6.46,3.29,7.65,40.67,26.52,501,526,511,341,53.21,678,451,511,481,335
11.81,301652,341383,341383,85.35,6.75,3.29,7.64,42.29,26.73,478,498,544,163,53.59,845,488,508,476,508
12.58,341383,380486,380486,95.12,6.26,3.3,7.66,44.0,26.48,466,499,499,0,54.12,1008,513,508,507,678
15.16,380486,418785,411409,102.85,7.1,3.31,7.67,44.31,26.27,448,503,484,44,54.89,1146,534,507,334,820
15.75,411409,449340,449340,112.33,6.75,3.3,7.66,44.49,26.18,501,497,473,41,55.61,1286,496,542,164,981
17.39,449340,486797,486797,121.7,6.92,3.28,7.64,44.27,26.39,523,500,500,41,55.76,1439,496,496,5,1146
18.99,486797,523690,503050,125.76,7.46,3.27,7.63,45.03,26.43,533,499,326,105,55.77,1503,522,466,46,1208
17.6,503050,539862,520048,130.01,6.47,3.28,7.64,45.54,26.43,504,526,156,208,55.76,1613,496,452,45,1291
20.78,520048,557394,552617,138.15,7.39,3.28,7.63,46.95,26.53,533,470,13,214,56.02,1752,493,476,49,1405
20.67,552617,590734,550544,137.64,7.78,3.29,7.65,46.3,26.26,548,419,51,310,56.25,1749,505,311,107,1426
20.69,550544,587495,564348,141.09,7.35,3.31,7.67,46.27,25.87,543,402,55,331,56.44,1827,504,151,187,1490
21.9,564348,601051,601051,150.26,7.0,3.33,7.68,46.96,26.82,526,425,54,318,56.92,2021,437,25,194,1653
19.61,601051,637796,549981,137.5,7.07,3.32,7.67,45.24,25.91,548,261,91,575,56.52,1820,397,62,246,1485
20.1,549981,585361,585361,146.34,6.66,3.27,7.63,46.39,26.02,549,144,160,462,56.37,1983,366,54,282,1658
18.64,585361,618527,618527,154.63,5.91,3.27,7.63,48.99,28.14,474,35,165,458,57.21,2170,371,57,270,1820
21.56,618527,650428,605775,151.44,6.97,3.28,7.63,49.26,25.9,410,71,235,208,56.28,2161,306,91,518,1788
21.93,605775,638656,638656,159.66,6.65,3.28,7.63,49.4,25.44,411,60,259,205,56.7,2326,162,160,417,1971
24.36,638656,668633,639618,159.9,7.46,3.28,7.64,50.19,27.09,436,66,236,320,58.5,2299,84,162,397,2032
25.12,639618,664792,654419,163.6,7.5,3.32,7.68,48.72,25.79,346,99,484,175,57.46,2391,80,224,201,2146
23.35,654419,677235,606223,151.56,7.89,3.32,7.68,46.99,25.66,285,145,345,522,57.22,2227,96,216,164,1939
21.63,606223,630363,601027,150.26,6.97,3.3,7.66,48.3,26.84,228,141,319,544,57.84,2230,85,198,255,1919
22.01,601027,626561,626561,156.64,6.75,3.33,7.69,49.25,27.11,182,193,166,499,57.03,2325,92,394,149,2081
21.13,626561,647349,589417,147.35,6.73,3.33,7.68,49.53,25.76,128,192,146,456,56.65,2151,169,296,462,1998
21.6,589417,604819,604819,151.2,6.85,3.32,7.68,51.1,26.53,106,186,234,316,57.65,2210,150,290,508,2083
22.62,604819,620882,612116,153.03,7.13,3.31,7.66,50.42,26.69,131,360,142,343,58.08,2220,192,159,453,2099
20.8,612116,627033,588226,147.06,6.66,3.33,7.68,48.1,25.13,197,283,418,253,57.38,2074,219,145,411,1996
19.12,588226,601800,529752,132.44,7.35,3.32,7.68,45.71,25.82,263,264,390,598,57.83,1787,230,211,257,1721
19.28,529752,548202,548202,137.05,6.82,3.34,7.7,46.88,26.84,320,151,361,572,57.71,1865,321,134,276,1743
19.01,548202,566942,545160,136.29,6.64,3.34,7.69,46.88,26.81,277,136,339,527,56.32,1886,280,345,210,1709
21.31,545160,565423,550583,137.65,7.64,3.31,7.67,49.25,26.18,246,198,246,225,56.09,1897,263,374,551,1706
20.3,550583,574571,574571,143.64,6.81,3.29,7.65,50.1,27.21,334,130,263,219,57.19,2024,157,344,529,1818
19.81,574571,596833,596833,149.21,6.4,3.3,7.66,50.2,25.57,288,335,205,72,57.35,2107,141,341,511,1897
22.17,596833,618175,595324,148.83,7.37,3.31,7.67,47.12,25.65,298,358,534,107,57.42,2038,200,241,224,1916
21.41,595324,614103,614103,153.53,6.71,3.31,7.66,49.17,26.83,193,332,513,106,58.12,2249,133,259,215,1999
22.56,614103,638335,638335,159.58,6.79,3.29,7.64,49.17,27.3,156,327,489,104,57.21,2310,327,209,78,2038
23.56,638335,662723,662723,165.68,6.87,3.28,7.63,51.48,25.73,200,241,224,0,56.61,2336,358,534,107,2249
24.84,662723,676963,676963,169.24,7.1,3.3,7.65,53.33,27.98,133,259,215,0,57.86,2442,332,513,106,2310
23.42,676963,697608,627595,156.9,7.81,3.3,7.65,50.17,25.07,357,195,77,340,58.19,2167,326,438,100,2044
21.97,627595,648380,648380,162.09,6.59,3.3,7.65,47.12,24.96,398,483,100,338,58.02,2236,233,203,9,2144
22.8,648380,665317,665317,166.33,6.67,3.29,7.64,49.15,27.81,361,465,102,337,59.02,2295,241,193,6,2167
21.76,665317,687861,627029,156.76,6.64,3.29,7.64,48.35,26.53,342,394,95,292,56.87,2254,248,69,306,1979
21.87,627029,655279,614693,153.67,6.98,3.31,7.66,48.28,25.08,352,176,22,458,56.1,2170,450,92,280,1854
22.34,614693,642348,626784,156.7,6.89,3.3,7.66,50.08,27.6,347,169,11,525,58.11,2161,414,97,276,1991
19.11,626784,649278,550915,137.73,6.28,3.31,7.66,46.48,25.38,255,94,222,791,57.38,1959,388,74,217,1730
16.78,550915,577258,496556,124.14,6.13,3.32,7.67,43.15,24.93,377,73,187,1068,56.68,1695,275,25,300,1483
17.9,496556,520326,520326,130.08,6.69,3.33,7.68,45.18,27.29,428,68,185,998,58.13,1734,203,17,367,1631
19.01,520326,539150,539150,134.79,6.84,3.34,7.69,47.96,28.1,408,64,184,515,56.18,1855,111,189,674,1695
19.56,539150,560037,560037,140.01,6.74,3.3,7.66,50.51,25.53,275,25,300,0,54.91,2072,73,187,1068,1734
20.85,560037,585423,585423,146.36,6.87,3.33,7.68,52.92,27.24,203,17,367,0,57.33,2162,68,185,998,1855
21.48,585423,608519,566339,141.58,7.49,3.33,7.69,48.44,25.17,174,176,623,225,58.39,2061,90,171,480,1869
20.88,566339,584568,584568,146.14,6.92,3.33,7.68,45.35,25.03,144,171,982,225,57.83,2153,37,280,8,1959
19.39,584568,602202,571138,142.78,6.55,3.33,7.68,46.6,27.54,151,163,874,353,58.55,2043,75,328,13,1912
