net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
5.51,262439,301652,293318,73.33,3.19,3.27,7.63,40.22,26.43,490,517,508,413,53.05,655,446,498,473,294
6.55,293318,333662,327779,81.94,3.34,3.25,7.6,41.72,26.65,462,495,532,259,53.41,805,473,497,477,448
7.17,327779,367546,348928,87.23,3.62,3.27,7.62,42.44,26.35,438,464,454,273,53.49,930,491,498,452,471
7.74,348928,393086,369598,92.4,3.72,3.26,7.62,42.32,25.98,416,462,404,375,53.88,1042,490,465,346,562
7.83,369598,414136,402128,100.53,3.32,3.25,7.61,42.79,26.3,456,444,383,417,54.98,1139,457,472,232,794
8.2,402128,440081,408559,102.14,3.57,3.27,7.62,42.23,26.28,453,407,355,518,54.42,1218,435,382,232,745
8.46,408559,452197,427361,106.84,3.48,3.27,7.63,42.97,26.12,446,401,288,483,54.41,1305,429,330,318,846
8.43,427361,469575,441668,110.42,3.31,3.28,7.64,43.65,26.59,424,393,207,571,54.97,1385,405,296,319,933
8.74,441668,482465,461863,115.47,3.32,3.27,7.63,44.82,26.31,414,353,208,457,55.14,1477,378,300,413,1080
9.1,461863,499404,478837,119.71,3.35,3.28,7.64,45.12,26.3,401,299,273,416,55.13,1557,390,273,391,1160
8.67,478837,515370,489046,122.26,3.15,3.28,7.64,46.04,26.5,383,274,285,382,55.72,1616,374,213,473,1208
8.7,489046,525562,501791,125.45,3.08,3.29,7.65,45.85,26.21,362,286,362,325,55.69,1695,340,214,416,1269
8.71,501791,538884,513836,128.46,3.06,3.3,7.66,45.85,26.11,379,270,351,343,55.83,1747,284,256,370,1330
9.77,513836,549722,519035,129.76,3.28,3.28,7.64,45.9,26.42,359,212,434,356,55.95,1782,273,261,323,1355
9.92,519035,555097,524802,131.2,3.33,3.26,7.62,46.27,26.31,319,213,363,397,55.79,1825,272,327,284,1400
9.92,524802,559923,510115,127.53,3.53,3.29,7.65,45.73,26.04,275,230,279,538,55.44,1838,246,319,275,1303
10.31,510115,549188,499627,124.91,3.74,3.28,7.64,45.03,25.91,257,222,224,682,55.15,1831,203,339,242,1153
9.34,499627,546112,524950,131.24,3.23,3.3,7.66,46.04,26.36,248,264,201,647,56.17,1873,205,285,277,1449
10.14,524950,558236,523526,130.88,3.45,3.3,7.66,46.19,26.59,241,265,207,611,55.89,1874,215,218,369,1433
9.24,523526,556881,528202,132.05,3.18,3.3,7.65,47.19,26.06,203,296,198,465,55.84,1887,221,185,545,1510
9.07,528202,558637,534320,133.58,3.09,3.3,7.66,47.65,26.48,214,262,214,477,56.37,1903,240,172,518,1558
9.06,534320,562973,541791,135.45,3.0,3.3,7.66,48.06,26.35,233,216,325,359,56.64,1915,254,185,513,1614
10.09,541791,568204,509869,127.47,3.63,3.3,7.66,45.54,25.71,223,172,432,521,55.61,1857,278,170,347,1372
9.96,509869,545898,505247,126.31,3.56,3.3,7.65,45.09,25.77,230,168,378,631,55.57,1863,225,163,342,1260
9.53,505247,546679,503792,125.95,3.46,3.29,7.65,44.88,26.4,227,161,336,782,56.04,1858,172,225,239,1342
8.94,503792,540745,525240,131.31,3.06,3.28,7.64,46.5,26.47,254,143,293,582,55.84,1867,165,336,360,1508
