net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
2.74,128983,149448,147481,73.74,3.12,3.27,7.63,40.7,26.57,221,249,282,176,52.94,334,260,222,256,147
2.72,147481,168015,165680,82.84,2.77,3.27,7.63,42.53,26.72,227,232,260,104,53.58,409,264,240,264,229
3.38,165680,185737,183035,91.52,3.1,3.29,7.64,43.39,26.35,248,225,273,14,53.84,473,251,255,261,294
3.54,183035,203069,199399,99.7,2.98,3.27,7.63,43.83,26.21,260,223,256,16,54.52,538,243,283,181,358
4.0,199399,219578,215201,107.6,3.12,3.29,7.64,43.96,26.35,256,236,264,22,55.17,620,229,260,113,417
4.41,215201,236196,232221,116.11,3.22,3.29,7.65,43.8,26.28,242,262,256,23,55.08,702,220,265,30,481
4.2,232221,253876,249706,124.85,2.85,3.32,7.67,44.87,26.52,234,285,180,18,55.12,777,220,259,27,561
4.89,249706,270741,264593,132.3,3.16,3.32,7.68,46.61,26.91,226,264,112,19,55.48,843,239,265,32,627
5.53,264593,285571,272818,136.41,3.46,3.3,7.66,47.02,26.24,223,268,40,33,55.18,892,256,250,38,617
5.44,272818,296436,284753,142.38,3.34,3.28,7.63,47.01,26.06,223,245,50,71,55.76,949,263,169,30,679
5.48,284753,307840,301174,150.59,3.1,3.32,7.68,47.72,26.46,238,240,51,65,56.69,1005,254,121,26,791
6.24,301174,321906,305085,152.54,3.58,3.29,7.66,46.94,26.38,257,216,49,80,55.79,1049,261,54,34,736
6.42,305085,330247,304276,152.14,3.89,3.31,7.67,46.97,26.18,268,150,32,117,55.2,1085,238,47,63,707
6.25,304276,332085,321926,160.96,3.33,3.27,7.63,48.47,26.7,253,111,21,123,55.88,1154,220,56,62,789
6.41,321926,348947,333932,166.97,3.37,3.29,7.65,49.31,26.54,254,58,36,123,56.32,1214,203,50,62,879
6.89,333932,358413,344799,172.4,3.51,3.28,7.64,49.5,26.02,241,59,59,94,56.38,1274,152,34,87,944
7.27,344799,368205,359871,179.94,3.43,3.29,7.66,50.94,26.81,218,62,61,81,57.39,1335,117,26,100,1085
6.61,359871,378941,369429,184.71,3.13,3.26,7.62,51.61,26.97,203,55,62,55,57.3,1406,67,38,114,1133
6.89,369429,388297,377616,188.81,3.18,3.29,7.66,52.23,26.19,159,40,90,24,57.06,1453,70,68,96,1174
7.5,377616,396056,356586,178.29,4.03,3.31,7.67,51.21,26.25,129,23,92,96,56.32,1443,80,61,76,1026
6.35,356586,381407,373750,186.88,3.0,3.3,7.67,52.05,26.25,83,35,100,99,56.91,1503,66,62,52,1086
6.77,373750,398025,385333,192.67,3.13,3.3,7.66,52.43,26.56,91,63,94,97,57.82,1499,47,79,30,1281
7.06,385333,399518,387008,193.5,3.21,3.33,7.69,53.4,26.57,89,64,78,42,57.64,1502,38,93,94,1301
7.41,387008,400420,387644,193.82,3.37,3.33,7.69,53.99,27.27,82,59,63,43,57.75,1505,46,101,101,1309
7.79,387644,400785,372711,186.36,3.74,3.35,7.71,52.79,25.58,60,72,38,89,56.84,1511,67,82,81,1137
6.97,372711,394070,386425,193.21,3.18,3.33,7.69,52.74,25.82,50,92,83,83,57.64,1524,65,68,35,1249
7.65,386425,403175,389388,194.69,3.4,3.34,7.7,53.19,26.89,57,92,82,87,58.16,1520,63,59,40,1311
7.41,389388,403261,384993,192.5,3.39,3.31,7.67,52.73,26.38,81,82,73,59,57.29,1505,71,48,81,1238
