net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
2.79,128983,149448,148089,74.04,4.51,3.26,7.62,40.71,26.57,228,250,277,176,53.02,334,255,222,258,152
3.04,148089,168431,166162,83.08,4.14,3.28,7.64,42.52,26.76,229,240,255,100,53.56,414,256,235,271,226
3.21,166162,186620,183273,91.64,4.06,3.28,7.64,43.36,26.29,242,227,266,22,53.76,480,253,250,260,293
3.44,183273,203547,200107,100.05,4.01,3.3,7.66,43.94,26.23,247,222,254,28,54.59,546,250,275,178,368
3.63,200107,220027,216819,108.41,3.96,3.29,7.64,44.08,26.39,250,232,261,35,55.34,624,236,245,117,436
3.87,216819,237032,232937,116.47,3.96,3.3,7.66,43.95,26.29,238,246,255,37,55.15,706,224,249,45,501
4.1,232937,253660,248886,124.44,3.95,3.3,7.65,44.95,26.52,241,246,191,38,55.23,772,220,250,42,566
4.25,248886,269319,264065,132.03,3.9,3.27,7.63,46.61,26.93,228,238,121,37,55.54,845,223,260,48,640
4.45,264065,284301,277352,138.68,3.93,3.3,7.66,47.67,26.4,221,235,53,36,55.64,907,238,260,50,692
4.61,277352,297658,291388,145.69,3.91,3.27,7.63,47.85,26.15,221,249,52,34,56.21,970,235,188,51,757
4.81,291388,311336,304978,152.49,3.92,3.29,7.65,48.0,26.32,228,252,55,41,56.77,1027,228,127,42,822
5.08,304978,324753,319431,159.72,3.96,3.29,7.65,48.03,26.4,238,249,52,40,56.84,1091,225,63,42,892
5.28,319431,338332,332088,166.04,3.95,3.28,7.64,49.1,26.64,237,183,48,43,56.81,1153,239,55,42,945
5.42,332088,351102,340803,170.4,3.97,3.3,7.65,50.11,26.78,231,125,42,42,56.69,1206,244,60,50,970
5.6,340803,360988,351610,175.81,3.97,3.32,7.67,50.8,26.4,230,72,46,52,56.9,1265,240,53,42,1019
